"NUTS0","time","geo","EUR_HAB","EUR_HAB_EU","MIO_EUR","Act_F_Y15_64","Act_T_Y15_64","Emp_B_E","Emp_M_N","Emp_TOTAL","Rel_Emp_B_E","Rel_Emp_M_N","Unem","long","lat","area","FemPopNr","TotPopNr","GDP_PC","Act_Sh_T_Y15_64","Act_Sh_F_Y15_64","MWAY_KM","MWAY_KM_TKM2","RD_EUR_MIO_1","RD_EMP_EUR_1","HICP","HICP_1","Y09GDPHab","lGDPpc","lRD_1","lMWkm2","Total","ERR","logTotEn","ERR_1","NUTS0AT","NUTS0BE","NUTS0CZ","NUTS0DE","NUTS0DK","NUTS0HU","NUTS0LU","NUTS0NL","NUTS0PL","NUTS0SI","NUTS0SK"
"CZ",2012,"CZ03",13673.4693877551,50,16509.1836734694,259,596.6,180.9,24.9,565,0.320176991150443,0.044070796460177,5.3,13.8510985703619,49.3399511662191,17250.8520221712,611765,1207847,0.0136682739398859,0.493936732052984,0.423365181074432,125,7.2460189119556,229.320295983087,405.876630058561,98,94.6,13.6612021857924,9.52321269325652,6.00604924657401,7.2460189119556,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ01",32755.1020408163,121,40753.0612244898,286.6,646.7,66,81.6,626.4,0.10536398467433,0.130268199233716,3.1,14.4103333333333,50.0223333333333,235.633988113052,638677,1241664,0.032821327850763,0.520833333333333,0.448740129987458,11,46.682569386902,986.212473572939,1574.41327198745,98,94.6,33.3333333333333,10.3968140164356,7.36163795613253,46.682569386902,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ06",14489.7959183673,53,24347.9591836735,354.8,819.5,232.6,46.8,756.7,0.307387339764768,0.061847495705035,7.6,16.1461948047059,49.2293225091705,14554.9965412936,853470,1678250,0.0145079452904355,0.488306271413675,0.415714670697271,227,15.5960188211646,514.667019027484,680.146714718494,98,94.6,13.879781420765,9.58119995090687,6.52230853183693,15.5960188211646,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ02",14183.6734693878,52,18238.7755102041,284.1,644,166.8,42.5,613.8,0.271749755620723,0.0692407950472467,4.6,14.532934585653,49.9974644709422,11455.3709351107,647649,1279345,0.0142563386031165,0.503382590309885,0.438663535340902,194,16.9352874820832,272.980972515856,444.739283994552,98,94.6,13.9890710382514,9.55984682643631,6.09748823180834,16.9352874820832,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ08",13469.387755102,50,16584.693877551,264.3,594.4,190.5,30.7,537.4,0.354484555266096,0.0571269073315966,9.5,18.0323440232921,49.8093159802872,5555.11515130523,628505,1230613,0.0134767744835712,0.483011312248449,0.420521714226617,60,10.8008562137371,211.6955602537,393.925493587086,98,94.6,12.568306010929,9.50817481589198,5.97616178884494,10.8008562137371,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ04",11938.7755102041,44,13518.3673469388,232.7,545,156.5,25.4,486.5,0.321685508735868,0.0522096608427544,10.7,13.3995451254205,50.3961226043747,8397.73887353264,572808,1131191,0.0119505612641356,0.481793083572978,0.406244326196561,57,6.78754136778988,41.5898520084567,85.4878766874752,98,94.6,12.3497267759563,9.38754682810337,4.44837457276017,6.78754136778988,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2013,"CZ05",12386.7069486405,46,18582.0745216516,328.4,740.4,243.4,33.3,678.2,0.358891182542023,0.0491005603066942,8.3,15.7636609742699,50.284134778615,13021.827695669,766186,1507980,0.0123224940129522,0.49098794413719,0.428616550028322,26,1.99664752196402,297.114285714286,438.09242954038,99.3,98,12.568306010929,9.42437915629747,6.08242991446142,1.99664752196402,43518.8,0.0930609299888784,10.6809483076203,0.0847730741646592,0,0,1,0,0,0,0,0,0,0,0
"CZ",2013,"CZ07",12185.2970795569,45,14953.6757301108,260,594.4,188.5,27.7,546.2,0.345111680703039,0.0507140241669718,8,17.4271004009172,49.5365007714542,8978.81385405196,626344,1225302,0.0122040735509375,0.485104896588759,0.415107353147791,53,5.90278413847305,238.372448979592,436.4197161838,99.3,98,12.3497267759563,9.4079853465218,6.07860443209465,5.90278413847305,43518.8,0.0930609299888784,10.6809483076203,0.0847730741646592,0,0,1,0,0,0,0,0,0,0,0
"CZ",2013,"CZ03",13494.4612286002,50,16286.0020140987,261.7,597.4,186.8,28,565.8,0.330151997172146,0.0494874513962531,5.2,13.8510985703619,49.3399511662191,17250.8520221712,612435,1209298,0.0134673190678383,0.494005613173924,0.42731065337546,149,8.63725454305107,256.277551020408,452.947244645472,99.3,98,13.6612021857924,9.51003460087597,6.11577566096504,8.63725454305107,43518.8,0.0930609299888784,10.6809483076203,0.0847730741646592,0,0,1,0,0,0,0,0,0,0,0
"CZ",2013,"CZ01",31520.6445115811,117,39201.4098690836,289.4,650.6,71.3,81.8,629.9,0.113192570249246,0.129861882838546,3.1,14.4103333333333,50.0223333333333,235.633988113052,641296,1246780,0.031442122803609,0.52182421918863,0.451273670816596,11,46.682569386902,1001.75204081633,1590.33503860347,99.3,98,33.3333333333333,10.3583979914652,7.37169998911957,46.682569386902,43518.8,0.0930609299888784,10.6809483076203,0.0847730741646592,0,0,1,0,0,0,0,0,0,0,0
